example_id                                                     | status | run_time        |
./spec/factories_spec.rb[1:7:4]                                | passed | 0.00124 seconds |
./spec/factories_spec.rb[1:7:5]                                | passed | 0.00638 seconds |
./spec/factories_spec.rb[1:8:1]                                | passed | 0.00052 seconds |
./spec/factories_spec.rb[1:8:2]                                | passed | 0.0013 seconds  |
./spec/factories_spec.rb[1:8:3]                                | passed | 0.00118 seconds |
./spec/factories_spec.rb[1:8:4]                                | passed | 0.00127 seconds |
./spec/factories_spec.rb[1:8:5]                                | passed | 0.00123 seconds |
./spec/integration/order_workflow_spec.rb[1:1:1]               | passed | 0.01058 seconds |
./spec/integration/order_workflow_spec.rb[1:2:1:1]             | passed | 0.00298 seconds |
./spec/integration/order_workflow_spec.rb[1:2:2:1]             | passed | 0.00355 seconds |
./spec/integration/order_workflow_spec.rb[1:2:3:1]             | passed | 0.00492 seconds |
./spec/integration/order_workflow_spec.rb[1:3:1]               | passed | 0.00513 seconds |
./spec/integration/order_workflow_spec.rb[1:3:2]               | passed | 0.00411 seconds |
./spec/integration/order_workflow_spec.rb[1:3:3]               | passed | 0.004 seconds   |
./spec/integration/order_workflow_spec.rb[1:4:1]               | passed | 0.00493 seconds |
./spec/integration/order_workflow_spec.rb[1:4:2]               | passed | 0.00332 seconds |
./spec/integration/order_workflow_spec.rb[1:5:1]               | passed | 0.00252 seconds |
./spec/integration/order_workflow_spec.rb[1:5:2]               | passed | 0.00334 seconds |
./spec/integration/order_workflow_spec.rb[1:6:1]               | passed | 0.00277 seconds |
./spec/integration/order_workflow_spec.rb[1:6:2]               | passed | 0.00331 seconds |
./spec/integration/order_workflow_spec.rb[1:6:3]               | passed | 0.00583 seconds |
./spec/integration/reporting_spec.rb[1:1:1]                    | passed | 0.02527 seconds |
./spec/integration/reporting_spec.rb[1:1:2]                    | passed | 0.00818 seconds |
./spec/integration/reporting_spec.rb[1:1:3]                    | passed | 0.00705 seconds |
./spec/integration/reporting_spec.rb[1:1:4]                    | passed | 0.00817 seconds |
./spec/integration/reporting_spec.rb[1:2:1]                    | passed | 0.00882 seconds |
./spec/integration/reporting_spec.rb[1:2:2]                    | passed | 0.00938 seconds |
./spec/integration/reporting_spec.rb[1:2:3]                    | passed | 0.00834 seconds |
./spec/integration/reporting_spec.rb[1:2:4]                    | passed | 0.00781 seconds |
./spec/integration/reporting_spec.rb[1:2:5]                    | passed | 0.00774 seconds |
./spec/integration/reporting_spec.rb[1:3:1]                    | passed | 0.0034 seconds  |
./spec/integration/reporting_spec.rb[1:3:2]                    | passed | 0.00326 seconds |
./spec/integration/reporting_spec.rb[1:3:3]                    | passed | 0.0083 seconds  |
./spec/integration/reporting_spec.rb[1:3:4]                    | passed | 0.00403 seconds |
./spec/integration/reporting_spec.rb[1:4:1]                    | passed | 0.01111 seconds |
./spec/integration/reporting_spec.rb[1:4:2]                    | passed | 0.01666 seconds |
./spec/integration/reporting_spec.rb[1:4:3]                    | passed | 0.01292 seconds |
./spec/integration/reporting_spec.rb[1:4:4]                    | passed | 0.01092 seconds |
./spec/models/account_event_spec.rb[1:1:1]                     | passed | 0.00037 seconds |
./spec/models/account_event_spec.rb[1:1:2]                     | passed | 0.00132 seconds |
./spec/models/account_event_spec.rb[1:2:1]                     | passed | 0.00046 seconds |
./spec/models/account_event_spec.rb[1:2:2]                     | passed | 0.00033 seconds |
./spec/models/account_event_spec.rb[1:2:3]                     | passed | 0.00034 seconds |
./spec/models/account_event_spec.rb[1:3:1]                     | passed | 0.00111 seconds |
./spec/models/account_event_spec.rb[1:3:2]                     | passed | 0.00114 seconds |
./spec/models/account_event_spec.rb[1:4:1:1]                   | passed | 0.00223 seconds |
./spec/models/account_event_spec.rb[1:4:2:1]                   | passed | 0.00235 seconds |
./spec/models/account_event_spec.rb[1:4:3:1]                   | passed | 0.00534 seconds |
./spec/models/account_event_spec.rb[1:4:4:1]                   | passed | 0.00264 seconds |
./spec/models/account_event_spec.rb[1:5:1:1]                   | passed | 0.00145 seconds |
./spec/models/account_event_spec.rb[1:5:1:2]                   | passed | 0.00107 seconds |
./spec/models/account_event_spec.rb[1:5:1:3]                   | passed | 0.00137 seconds |
./spec/models/account_event_spec.rb[1:5:1:4]                   | passed | 0.00127 seconds |
./spec/models/account_event_spec.rb[1:5:1:5]                   | passed | 0.00172 seconds |
./spec/models/account_event_spec.rb[1:6:1:1]                   | passed | 0.00258 seconds |
./spec/models/account_event_spec.rb[1:6:1:2]                   | passed | 0.00276 seconds |
./spec/models/account_event_spec.rb[1:6:1:3]                   | passed | 0.00257 seconds |
./spec/models/account_event_spec.rb[1:6:1:4]                   | passed | 0.00243 seconds |
./spec/models/account_event_spec.rb[1:6:1:5]                   | passed | 0.0025 seconds  |
./spec/models/account_event_spec.rb[1:6:1:6]                   | passed | 0.00243 seconds |
./spec/models/account_spec.rb[1:1:1]                           | passed | 0.0003 seconds  |
./spec/models/account_spec.rb[1:1:2]                           | passed | 0.00085 seconds |
./spec/models/account_spec.rb[1:2:1]                           | passed | 0.00044 seconds |
./spec/models/account_spec.rb[1:2:2]                           | passed | 0.00026 seconds |
./spec/models/account_spec.rb[1:3:1:1]                         | passed | 0.00163 seconds |
./spec/models/account_spec.rb[1:3:1:2]                         | passed | 0.00239 seconds |
./spec/models/account_spec.rb[1:3:2:1]                         | passed | 0.00158 seconds |
./spec/models/account_spec.rb[1:3:2:2]                         | passed | 0.00257 seconds |
./spec/models/account_spec.rb[1:3:3:1]                         | passed | 0.0021 seconds  |
./spec/models/account_spec.rb[1:3:3:2]                         | passed | 0.00227 seconds |
./spec/models/account_spec.rb[1:3:4:1]                         | passed | 0.0013 seconds  |
./spec/models/account_spec.rb[1:3:4:2]                         | passed | 0.00232 seconds |
./spec/models/account_spec.rb[1:3:5:1]                         | passed | 0.00273 seconds |
./spec/models/account_spec.rb[1:4:1:1]                         | passed | 0.0016 seconds  |
./spec/models/account_spec.rb[1:4:1:2]                         | passed | 0.0006 seconds  |
./spec/models/account_spec.rb[1:5:1:1]                         | passed | 0.00399 seconds |
./spec/models/account_spec.rb[1:5:2:1]                         | passed | 0.00512 seconds |
./spec/models/account_spec.rb[1:5:2:2]                         | passed | 0.00074 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:1:1:1]         | passed | 0.00074 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:1:1:2]         | passed | 0.00069 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:1:2:1]         | passed | 0.00071 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:1:2:2]         | passed | 0.0008 seconds  |
./spec/models/concerns/statusable_spec.rb[1:1:1:1:3:1]         | passed | 0.00082 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:1:3:2]         | passed | 0.00079 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:1:4:1]         | passed | 0.00108 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:1:4:2]         | passed | 0.00089 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:2:1:1]         | passed | 0.00018 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:2:2:1]         | passed | 0.0002 seconds  |
./spec/models/concerns/statusable_spec.rb[1:1:1:2:3:1]         | passed | 0.00019 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:2:4:1]         | passed | 0.00016 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:1:2:5:1]         | passed | 0.00017 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:2:1]             | passed | 0.00586 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:2:2]             | passed | 0.00661 seconds |
./spec/models/concerns/statusable_spec.rb[1:1:3:1]             | passed | 0.00447 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:1:1:1]         | passed | 0.00089 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:1:1:2]         | passed | 0.00084 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:1:2:1]         | passed | 0.00094 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:1:2:2]         | passed | 0.0009 seconds  |
./spec/models/concerns/statusable_spec.rb[1:2:1:1:3:1]         | passed | 0.00088 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:1:3:2]         | passed | 0.00082 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:1:4:1]         | passed | 0.00082 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:1:4:2]         | passed | 0.00088 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:2:1:1]         | passed | 0.00017 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:2:2:1]         | passed | 0.00016 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:2:3:1]         | passed | 0.00018 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:2:4:1]         | passed | 0.00018 seconds |
./spec/models/concerns/statusable_spec.rb[1:2:1:2:5:1]         | passed | 0.00017 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:1:1]         | passed | 0.00036 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:1:2]         | passed | 0.00043 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:2:1]         | passed | 0.00034 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:2:2]         | passed | 0.00042 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:3:1]         | passed | 0.00042 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:3:2]         | passed | 0.00034 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:4:1]         | passed | 0.00045 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:4:2]         | passed | 0.00047 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:5:1]         | passed | 0.00034 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:1:5:2]         | passed | 0.00037 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:2:1:1]         | passed | 0.00015 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:2:2:1]         | passed | 0.00016 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:2:3:1]         | passed | 0.00018 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:2:4:1]         | passed | 0.00016 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:2:5:1]         | passed | 0.00022 seconds |
./spec/models/concerns/statusable_spec.rb[1:3:1:2:6:1]         | passed | 0.00017 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:1:1]              | passed | 0.00358 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:1:2]              | passed | 0.00683 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:1:3]              | passed | 0.00368 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:1:4]              | passed | 0.0031 seconds  |
./spec/models/concerns/trackable_spec.rb[1:1:1:5]              | passed | 0.0055 seconds  |
./spec/models/concerns/trackable_spec.rb[1:1:2:1]              | passed | 0.00314 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:2:2]              | passed | 0.00303 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:2:3]              | passed | 0.00301 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:2:4]              | passed | 0.00359 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:3:1]              | passed | 0.00347 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:3:2]              | passed | 0.00338 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:4:1]              | passed | 0.00242 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:4:2]              | passed | 0.00245 seconds |
./spec/models/concerns/trackable_spec.rb[1:1:5:1]              | passed | 0.00239 seconds |
./spec/models/concerns/trackable_spec.rb[1:2:1:1]              | passed | 0.0054 seconds  |
./spec/models/concerns/trackable_spec.rb[1:2:1:2]              | passed | 0.0051 seconds  |
./spec/models/concerns/trackable_spec.rb[1:2:1:3]              | passed | 0.00542 seconds |
./spec/models/concerns/trackable_spec.rb[1:2:1:4]              | passed | 0.0043 seconds  |
./spec/models/concerns/trackable_spec.rb[1:2:1:5]              | passed | 0.00516 seconds |
./spec/models/concerns/trackable_spec.rb[1:2:1:6]              | passed | 0.005 seconds   |
./spec/models/concerns/trackable_spec.rb[1:2:1:7]              | passed | 0.00547 seconds |
./spec/models/concerns/trackable_spec.rb[1:2:2:1]              | passed | 0.00514 seconds |
./spec/models/concerns/trackable_spec.rb[1:3:1:1]              | passed | 0.00019 seconds |
./spec/models/concerns/trackable_spec.rb[1:3:1:2]              | passed | 0.00016 seconds |
./spec/models/concerns/trackable_spec.rb[1:3:1:3]              | passed | 0.00016 seconds |
./spec/models/concerns/trackable_spec.rb[1:3:2:1]              | passed | 0.00016 seconds |
./spec/models/concerns/trackable_spec.rb[1:4:1]                | passed | 0.00313 seconds |
./spec/models/concerns/trackable_spec.rb[1:4:2]                | passed | 0.00308 seconds |
./spec/models/concerns/trackable_spec.rb[1:4:3]                | passed | 0.00308 seconds |
./spec/models/concerns/trackable_spec.rb[1:4:4]                | passed | 0.00351 seconds |
./spec/models/concerns/trackable_spec.rb[1:5:1]                | passed | 0.00555 seconds |
./spec/models/concerns/trackable_spec.rb[1:5:2]                | passed | 0.00567 seconds |
./spec/models/concerns/trackable_spec.rb[1:5:3]                | passed | 0.00592 seconds |
./spec/models/customer_spec.rb[1:1:1]                          | passed | 0.00086 seconds |
./spec/models/customer_spec.rb[1:1:2]                          | passed | 0.00062 seconds |
./spec/models/customer_spec.rb[1:1:3]                          | passed | 0.00088 seconds |
./spec/models/customer_spec.rb[1:2:1:1]                        | passed | 0.00062 seconds |
./spec/models/customer_spec.rb[1:2:1:2]                        | passed | 0.00058 seconds |
./spec/models/customer_spec.rb[1:2:1:3]                        | passed | 0.00079 seconds |
./spec/models/customer_spec.rb[1:2:1:4]                        | passed | 0.00067 seconds |
./spec/models/customer_spec.rb[1:2:1:5]                        | passed | 0.00186 seconds |
./spec/models/customer_spec.rb[1:2:1:6]                        | passed | 0.00213 seconds |
./spec/models/customer_spec.rb[1:3:1]                          | passed | 0.00137 seconds |
./spec/models/customer_spec.rb[1:3:2:1]                        | passed | 0.00204 seconds |
./spec/models/customer_spec.rb[1:3:2:2]                        | passed | 0.00241 seconds |
